sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type
S001,C001,I001,A001,B01,2026-05-01 07:00,2026-05-01 08:30,2026-05-01 07:20,2026-05-01 08:50,completed,20,,Navigation
S002,C002,I002,A002,B01,2026-05-01 09:00,2026-05-01 10:30,,,cancelled,0,Weather,Circuit
S003,C001,I001,A001,B01,2026-05-02 07:00,2026-05-02 08:30,2026-05-02 07:05,2026-05-02 08:35,completed,5,,Circuit
S004,C003,I003,A003,B02,2026-05-02 10:00,2026-05-02 11:30,,,cancelled,0,Aircraft Defect,General Handling
S005,C002,I002,A002,B01,2026-05-03 06:30,2026-05-03 08:00,2026-05-03 07:10,2026-05-03 08:40,completed,40,,Navigation
S006,C001,I001,A001,B01,2026-05-04 07:00,2026-05-04 08:30,2026-05-04 07:15,2026-05-04 08:45,completed,15,,Instrument
S007,C002,I002,A002,B01,2026-05-04 09:00,2026-05-04 10:30,,,cancelled,0,Weather,Navigation
S008,C003,I003,A003,B02,2026-05-05 10:00,2026-05-05 11:30,2026-05-05 10:30,2026-05-05 12:00,completed,30,,Circuit
S009,C001,I001,A001,B01,2026-05-06 07:00,2026-05-06 08:30,2026-05-06 07:00,2026-05-06 08:30,completed,0,,Circuit
S010,C002,I002,A002,B01,2026-05-06 09:00,2026-05-06 10:30,2026-05-06 09:10,2026-05-06 10:40,completed,10,,General Handling
S011,C003,I003,A003,B02,2026-05-07 10:00,2026-05-07 11:30,,,cancelled,0,Aircraft Defect,Navigation
S012,C001,I001,A001,B01,2026-05-08 07:00,2026-05-08 08:30,2026-05-08 07:25,2026-05-08 08:55,completed,25,,Navigation
